INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Karur Vysya Bank,Indian Private Sector Banks,7.25,1 year to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,7.25,500 days,Less than Rs. 1 cr,General,Taxable
Nainital Bank,Indian Private Sector Banks,7.25,180 days and above but below 270 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,7.25,270 days to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.25,37 months to 60 months,Less than Rs. 25 lakh,General,Taxable
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.25,61 months to 120 months,Less than Rs. 25 lakh,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.25,46 days to 90 days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.25,91days to 180 Days,Less than lakh to Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.25,91days to 180 Days,Rs. 1 cr and above to upto Rs 3 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,7.25,456 days to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7.25,2 years to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,7.25,456 days to less than 2 year,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7.25,2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,7.25,456 days to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7.25,2 year to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,7.25,456 days to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
South Indian Bank,Indian Private Sector Banks,7.25,1 year to 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7.25,2 years to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,7.25,456 days to less than 2 year,Less than Rs. 1cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.25,AV Deposit Scheme - 366 Days (Simple Interest),Less than Rs. 1 cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.25,Mangal Moorti Scheme 24 mnths (simple int),Less than Rs. 1 cr,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,7.25,Above 36 months to 60 months,Upto Rs. 15 lakh,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,7.25,1year upto 24 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.25,Indus Tax Saver Scheme (5 year),Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Punjab & Maharashtra Co-operative Bank,Cooperative Banks,7.25,PMCB Kar-Mukt Yojna - Tax Saver,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.25,Shamrao Vithal Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,General,Tax Saving
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.25,Shamrao Vithal Tax Savings Scheme - 5 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bank of India,Public Sector / Nationalized Banks,7.2,3 Years & above to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,7.2,5 years & above and less than 8 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,7.2,8 years & above to 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7.2,3 years and above to less than 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.2,24 months to 36 months,Less than Rs. 1 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,7.2,More than 60 months to 120 months,Less than Rs. 1 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,7.2,1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,7.2,181 days to 364 days,Upto Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7.2,180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,7.2,Above 5 years to 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.2,36 Months 10 Days to 36 Months 20 Days,Less than Rs. 1cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,7.2,Star Sunidhi Tax-Saving Deposit Scheme - 5 years to 10 Years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Punjab National Bank,Public Sector / Nationalized Banks,7.2,PNB Tax Saver Fixed Deposit Scheme - 5 years to10 years,Upto Rs. 1 lakh,General,Tax Saving
Abu Dhabi Commercial Bank,Foreign Banks,7.15,1 years and above to less than 2 years,Less than Rs. 1 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.15,2 years & above to 1233 days,Less than Rs. 1 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.15,1 years and above to less than 2 years,Rs. 1 cr to 5 crs,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7.15,2 years & above to 1233 days,Rs. 1 cr to 5 crs,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,7.15,1 year,less than Rs. 1cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.15,1 year to below 1 years 2 months,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.15,2 years to below 2 years 6 months,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.15,1 year to below 1 years 2 months,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.15,2 years to below 2 years 6 months,Less than Rs. 15 lakh,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.15,365 days to less than 24 mnths,Less than Rs. 1 cr,Senior Citizen,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,7.15,Above 24 mths to 60 mths,Less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,7.15,1 year,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,7.15,Above 1 year upto 2 years,less than Rs. 1 cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.15,18 Months 8 Days to 18 Months 18 Days,Less than Rs. 1cr,General,Taxable
Corporation Bank,Public Sector / Nationalized Banks,7.1,1 year to less than 3 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7.1,1 year� to less than 2 years,Less than Rs. 1cr,Senior Citizen,Taxable
City Union Bank (CUB),Indian Private Sector Banks,7.1,1 year,Up to Rs. 1 cr,General,Taxable
City Union Bank (CUB),Indian Private Sector Banks,7.1,1years and above upto 5 years,Up to Rs. 1 cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7.1,18 months to less than 24 months,Less than Rs. 1 cr,General,Taxable
Nainital Bank,Indian Private Sector Banks,7.1,2 years and above but less than 3 years,Less than Rs. 15 lakh,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,7.1,270 days to 364 days,Less than Rs. 1cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.1,241 days to 364 days,Less than lakh to Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,7.1,Above 1 year up to 24 months,Less than Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,7.1,Above 24 months up to 36 months,Less than Rs. 1 cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,7.1,Above 2 to less than 5 yrs,Less than Rs. 1cr,Senior Citizen,Taxable
Yes Bank,Indian Private Sector Banks,7.1,1 Year to 10 years,Less than Rs. 1cr,General,Taxable
Yes Bank,Indian Private Sector Banks,7.1,Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,General,Tax Saving
Indus Ind Bank,Indian Private Sector Banks,7.05,1 years 2 months to below 2 years,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,7.05,1 years 2 months to below 2 years,Less than Rs. 15 lakh,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,7.05,12 month to less than 24 month,Rs. 1 cr and above to upto Rs 3 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,1 year to less than 13 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,13 months to less than 14 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,14 months to less than 15 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,15 months to less than 16 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,16 months to less than 17 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,17 months to less than 18 months,Above Rs. 1 cr to 5 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,1 year to less than 13 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,13 months to less than 14 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,14 months to less than 15 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,15 months to less than 16 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,16 months to less than 17 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,17 months to less than 18 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,7,10 months to less than 11 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,11 months to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,18 months to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,7,9 months to less than 10 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,7,Above 2 years to 3 years,Less than Rs. 1 crore,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,7,Above 3 years to 5 years,Less than Rs. 1 crore,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,7,Above 5 years to 10 years,Less than Rs. 1 crore,Senior Citizen,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,7,Above 15 months upto 120 months,Less than Rs. 1 cr,General,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,7,181 days and above upto 15 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7,1235 to 5 Years,Less than Rs. 1 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,7,1235 to 5 Years,Rs. 1 cr to 5 crs,General,Taxable
Bharat Co-operative Bank,Cooperative Banks,7,1 year to 3 years,Rs. 1 cr and above,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7,181 days to 12 Months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,7,181 days to 12 Months,Rs. 15 lakh and above,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,7,365 Days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7,Above 3 year to 5 year,Less than Rs. 1cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,7,180 days to 12 months,Less than Rs. 1cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,7,180 days to 269 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,7,270 days to Less than 1 Year,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7,181 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7,271 days to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,7,Above 5 Years and upto 10 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7,180 days to 269 days,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7,270 days to less than 1 year,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7,5 years and above to less than 8 years,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,7,8 years and above to 10 years,Less than Rs. 1cr,Senior Citizen,Taxable
Corporation Bank,Public Sector / Nationalized Banks,7,3 Years and Above,Less than Rs. 1 cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,180 days to 270 days,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,2 years to less than 3 years,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,271 days to 364 days,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,3 year to less than 5 years,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,5 years & above upto 10 year,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,555 days,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,777 days,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,7,91 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
City Union Bank (CUB),Indian Private Sector Banks,7,181 days to 364 days,Up to Rs. 1 cr,General,Taxable
City Union Bank (CUB),Indian Private Sector Banks,7,181 days to 364 days,Up to Rs. 1 cr,Senior Citizen,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,7,Above 2 years and upto and inclusive of 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,7,Above 3 years and upto and inclusive of 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,7,Above 5 years and upto and inclusive of 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Deutsche Bank,Foreign Banks,7,Above 2 years to 3 years,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,7,Above 3 years to 4 years,Less than Rs. 1 cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,7,5 years to less than 8 years,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,7,8 years and upto 10 years,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,7,180 days To 270 days,Less than Rs. 1cr,Senior Citizen,Taxable
DCB Bank,Indian Private Sector Banks,7,12 Months to less than 18 months,Less than Rs. 1 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,7,271 days to less than1 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Federal Bank,Indian Private Sector Banks,7,Above 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,7,1 year 4 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HSBC,Foreign Banks,7,18 months to 730 days,Less than Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,7,1 year,less then Rs. 1cr,Senior Citizen,Taxable
IDBI Bank,Public Sector / Nationalized Banks,7,Above 1 yrs to 2 yrs,less than Rs. 1cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,121 days to 180 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,181days to 210 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,211 days to 269 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,121 days to 180 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,181days to 210 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,7,211 days to 269 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,7,Above1 year to less than 2 years,Upto Rs. 25 lakh,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7,181 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7,271 days to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7,3 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7,5 years to 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,7,91 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,7,Above 30 months to 60 months,Less than Rs. 15 lakh,General,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,7,Above 60 months to 120 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,7,180 days,Upto Rs. 1 cr,General,Taxable
Karnataka Bank,Indian Private Sector Banks,7,91 days to 179 days,Upto Rs. 1 cr,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,7,Above 2 years to 10 years,Upto Rs. 1 cr,Senior Citizen,Taxable
Kapole Co-operative Bank,Cooperative Banks,7,91 days to 180 days,Less than Rs. 15 lakh,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,7,Above 36 months to 60 months,Less than Rs. 15 lakh,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,7,Above 60 months,Less than Rs. 15 lakh,General,Taxable
Kapole Co-operative Bank,Cooperative Banks,7,91 days to 180 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,181 days to 269 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,271 days to 363 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,391 Days & above upto and inclusive of 699 Days,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,700 days (23 months),Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,7,701 days and above to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Karur Vysya Bank,Indian Private Sector Banks,7,2 years to less than 3 years,Less than Rs. 1 cr,General,Taxable
